Subject,Handedness,Age,Gender
1,Right,29,Male
2,Right,29,Male
3,Right,31,Male
4,Left,30,Female
5,Right,25,Male
6,Right,35,Male
7,Right,27,Male
8,Right,45,Male
9,Right,23,Male
10,Right,34,Male
11,Right,32,Female
12,Right,29,Male
13,Left,30,Male
14,Right,30,Female
15,Right,30,Male
16,Right,34,Male
17,Right,29,Male
18,Right,30,Female
19,Right,31,Female
20,Right,26,Female
21,Right,32,Male
22,Left,28,Female
23,Right,25,Male
24,Right,28,Male
25,Left,31,Male
26,Left,30,Male
27,Right,29,Male
28,Right,29,Female
29,Right,27,Male
30,Right,30,Male
31,Right,29,Male
32,Right,28,Male
33,Right,25,Male
34,Right,31,Male
35,Right,24,Female
36,Right,27,Female
37,Right,34,Male
38,Right,30,Female
39,Right,31,Male
40,Right,31,Male

